word,sentences,majority voted complexity label,complex_percentage,str_idx,end_idx
احتراق,سوخت مایع  مولکول‌های قابل احتراق یا تولیدکننده انرژی می‌باشند که برای تولید انرژی مکانیکی یا انرژی جنبشی مورد استفاده قرار می‌گیرند.,0,40,27,32
نقل,سوخت‌های مایع در مجموع نقش مهمی در حوزه‌های حمل و نقل و اقتصاد دارند و اغلب با سوخت‌های جامد و سوخت‌های گازدار مقایسه می‌شوند.,0,20,50,52
بزرگ,جایزه بزرگ ژاپن یکی از مسابقات قهرمانی جهان فرمول یک است.,1,80,6,9
برنامه,سومین مسابقه قرار بود در آوریل ۱۹۷۸ برگزار شود؛ ولی برای یک دهه از برنامه فرمول یک حذف شد و مدت بیشتری طول کشید تا به پیست فوجی بازگردد.,0,20,67,72
تمام,این مسابقه با پیروزی ریکاردو پاترسه تمام شد.,1,80,36,39
عادی,ترومبوز سفید اکثریت پلاکت‌ها  ترومبوز قرمز اکثریت گلبول‌های قرمز  مخلوطی از دو نوع بالا بیماری زایی یک ترومبوز زمانی ایجاد می‌شود که فرایند هموستاز که بصورت عادی در در پاسخ به یک اسیب ایجاد می‌شود، در یک رگ اسیب ندیده فعال شود.,0,40,157,160
فرایند,ترومبوز سفید اکثریت پلاکت‌ها  ترومبوز قرمز اکثریت گلبول‌های قرمز  مخلوطی از دو نوع بالا بیماری زایی یک ترومبوز زمانی ایجاد می‌شود که فرایند هموستاز که بصورت عادی در در پاسخ به یک اسیب ایجاد می‌شود، در یک رگ اسیب ندیده فعال شود.,0,20,133,138
متحده,نمایش‌های تلویزیونی واقع‌شده در امارات متحده عربی,1,80,39,43
عرض,روستای نوده از توابع دهستان کلیشم در نیمه شرقی شهرستان رودبار در بخش عمارلو، ۴۵ کیلومتری جهت شرقی جیرنده، در طول جغرافیایی ۳۶ درجه و ۳۸ دقیقه و عرض ۵۰ درجه و ۳ دقیقه در ارتفاع ۱۶۰۰ متری از سطح دریای آزاد در جنوب استان گیلان واقع شده‌است.,1,60,144,146
لات,از کنار دانشگاه پس از طی ۳۸ کیلومتر، جاده آسفالته به جاده خاکی می‌رسیم و پس از عبور از روستاهای دستجردی سفلی به روستای لات و با طی مسافت ۶۴ کیلومتری که ۳۸ کیلومتر آن آسفالته و بقیه خاکی است، به روستای نوده فاراب می‌رسیم.,0,40,119,121
قلعه,این ارگ به صورت یک قلعه خشتی بزرگ با برج و باروهای بلند فضایی در فاصله ۵۰ کیلومتری شمال اصفهان و در قلب روستای مورچه‌خورت قرار دارد که حدود ۱۵ هزار مترمربع وسعت این قلعه است.,0,20,19,22
بیوانفورماتیک,تجزیه و تحلیل‌های بیوانفورماتیک حاکی از آن است که این پروتئین احتمالا یک پروکسی‌ردوکسین باشد.,0,0,18,30
سرخ,از فیلم‌ها یا مجموعه‌های تلویزیونی که وی در آن‌ها نقش داشته‌است می‌توان به دختران صلیب سرخ اشاره نمود.,0,20,87,89
زایش,همچنین این پروتئین خواص تحریک‌کنندگی در زمینه زایش و تکثیر سلولی دارد و به‌همین دلیل، ممکن است در بروز و پیشرفت سرطان نقش داشته باشد.,0,40,46,49
نسخه,چندین نسخه رونویسی گوناگون از این ژن که ایزوفرم‌های پروتئینی متفاوتی را می‌سازند، تاکنون کشف شده‌است.,1,100,6,9
نسبتا,ژل ساخته‌شده از آگارز خالص دارای اندازه منافذ نسبتا بزرگ هستند و آنها را برای جداسازی مولکول‌های بزرگ مانند پروتئین‌ها و پروتئین‌ها ۲۰۰ کیلوالتون و همچنین قطعات  ۱۰۰ پایه پایه مفید می‌سازد.,1,100,46,50
رانندگی,آخرین به‌روزرسانی ۵ اردیبهشت ۱۳۹۷  در زیر فهرست تخلف‌های رانندگی به همراه مبلغ جریمه هر یک ذکر شده‌است.,0,20,57,63
فضای‌مجازی,این برنامه با دعوت از طیف وسیع از چهره‌ها و افراد مطرح ایران، با ایجاد برنامه‌های اکتیو، جذاب و گاهی جنجالی همواره بازتاب‌های زیادی در فضای‌مجازی داشته‌است.,0,40,135,144
مختصات,در صورتی که ارتفاع مشخصه فیلم را با و نشان دهیم و طول مشخصه بستر باشد، پیش‌نیاز استفاده از شرایط نظریه روانکاری کوچک بودن نسبت به خواهد بود که اگر این نسبت را با نشان دهیم، خواهیم داشت:  اگر معادلات ناویراستوکس که در رژیم جریانی خزشی با حذف ترم اینرسی به معادلات استوکس تبدیل می‌شوند بسط داده شوند، با رعایت شرط بالا و در حالت در نظر گرفتن عبارت غالب معادلات مجانبی خواهیم داشت:               ۰   ۶                  ۲     ۲    در معادلات بالا و متغیرهای دستگاه مختصات در جهت بستر و جهت عمود بر آن به ترتیب هستند.,0,0,461,466
ضدانعقاد,پیشگیری و درمان درمان سنتی ترومبوز همانند درمان یک  اندام تحتانی است و شامل استفاده از یک ضدانعقاد سیستمیک برای جلوگیری از آمبولی ریوی است..,0,40,90,97
اقدامات,طرب تحصیلات خود را در نابلس به پایان رساند و قبل از دیپلم او با پسر عموی عون عبدالهادی، که به دنبال اقدامات سیاسی ملی در یک دوره دشوار برای زنان بود؛ ازدواج کرد.,0,0,100,106
سارکوئیدوز,احتمال می‌رود ژن  ۵ در بروز سارکوئیدوز هم دخیل باشد.,0,20,28,37
دموکراتیک,گاهشمار در اوایل سال ۲۰۰۳ به اتهام وابستگی به جبهه دموکراتیک برای آزادی فلسطین دستگیر و به ۳۰ سال زندان محکوم شد.,0,0,51,59
